amount_received,receiving_currency,amount_paid,payment_currency,payment_format,from_entity_type,from_bank_prefix,from_entity_account_count,from_entity_bank_count,to_entity_type,to_bank_prefix,to_entity_account_count,to_entity_bank_count,hour,day,day_of_week,is_weekend,amount_paid_log1p,amount_received_log1p,amount_abs_diff,amount_ratio_paid_to_received,same_bank,same_account,same_entity,cross_currency,is_laundering
653.45,Euro,653.45,Euro,Cheque,Sole Proprietorship,Germany,2,2,Partnership,Netherlands,3,3,0,1,3,0,6.483795188237728,6.483795188237728,0.0,1.0,0,0,0,0,0
17.88,US Dollar,17.88,US Dollar,Reinvestment,Sole Proprietorship,First,7,7,Sole Proprietorship,First,7,7,0,1,3,0,2.9381031607173544,2.9381031607173544,0.0,1.0,1,1,1,0,0
17.46,Euro,17.46,Euro,Reinvestment,Sole Proprietorship,Netherlands,1,1,Sole Proprietorship,Netherlands,1,1,0,1,3,0,2.9156062290747062,2.9156062290747062,0.0,1.0,1,1,1,0,0
18974.81,US Dollar,18974.81,US Dollar,Reinvestment,Sole Proprietorship,Oak Credit Union,8,8,Sole Proprietorship,Oak Credit Union,8,8,0,1,3,0,9.85092028909977,9.85092028909977,0.0,1.0,1,1,1,0,0
16.01,US Dollar,16.01,US Dollar,Reinvestment,Corporation,National,7,7,Corporation,National,7,7,0,1,3,0,2.8338014064077703,2.8338014064077703,0.0,1.0,1,1,1,0,0
21648.67,US Dollar,21648.67,US Dollar,Wire,Corporation,City National,1,1,Sole Proprietorship,Heath Trust,6,6,0,1,3,0,9.98274549082024,9.98274549082024,0.0,1.0,0,0,0,0,0
1097976.27,US Dollar,1097976.27,US Dollar,Cash,Partnership,Willows Thrift,3,3,Partnership,Bank of Detroit,1,1,0,1,3,0,13.908980199562293,13.908980199562293,0.0,1.0,0,0,0,0,1
315350.0,US Dollar,315350.0,US Dollar,Cheque,Corporation,First,1,1,Corporation,Sunrise Thrift,4,4,0,1,3,0,12.661441583166521,12.661441583166521,0.0,1.0,0,0,0,0,0
695.35,Euro,695.35,Euro,Reinvestment,Sole Proprietorship,Germany,5,5,Sole Proprietorship,Germany,5,5,0,1,3,0,6.545852407499101,6.545852407499101,0.0,1.0,1,1,1,0,0
990.68,Euro,990.68,Euro,Reinvestment,Sole Proprietorship,Italy,7,7,Sole Proprietorship,Italy,7,7,0,1,3,0,6.899400474599384,6.899400474599384,0.0,1.0,1,1,1,0,0
55617.05,Canadian Dollar,55617.05,Canadian Dollar,Reinvestment,Partnership,Canada,2,2,Partnership,Canada,2,2,0,1,3,0,10.926263067842187,10.926263067842187,0.0,1.0,1,1,1,0,0
8732.51,US Dollar,8732.51,US Dollar,ACH,Partnership,National,7,7,Corporation,Bank of New York,8,8,0,1,3,0,9.074922629884108,9.074922629884108,0.0,1.0,0,0,0,0,0
235258.69,Yuan,235258.69,Yuan,Cheque,Corporation,China,184,92,Partnership,China,7,6,0,1,3,0,12.3684452468225,12.3684452468225,0.0,1.0,0,0,0,0,0
1358432.63,Shekel,1358432.63,Shekel,Reinvestment,Corporation,Israel,2,2,Corporation,Israel,2,2,0,1,3,0,14.121842851299906,14.121842851299906,0.0,1.0,1,1,1,0,0
0.02,Rupee,0.02,Rupee,Cheque,Partnership,India,614,219,Corporation,India,412,128,0,1,3,0,0.019802627296179712,0.019802627296179712,0.0,1.0,0,0,0,0,0
7447764.34,US Dollar,7447764.34,US Dollar,Cheque,Sole Proprietorship,First,9,9,Partnership,Baltech,1,1,0,1,3,0,15.823424590998018,15.823424590998018,0.0,1.0,0,0,0,0,0
87420.01,Euro,87420.01,Euro,Reinvestment,Corporation,France,1,1,Corporation,France,1,1,0,1,3,0,11.378490921770835,11.378490921770835,0.0,1.0,1,1,1,0,0
1663.67,Shekel,1663.67,Shekel,ACH,Partnership,Israel,2872,683,Corporation,Slovakia,2289,418,1,1,3,0,7.417382184572488,7.417382184572488,0.0,1.0,0,0,0,0,0
121601.37,Euro,121601.37,Euro,Reinvestment,Sole Proprietorship,Slovakia,1,1,Sole Proprietorship,Slovakia,1,1,0,1,3,0,11.708511738455853,11.708511738455853,0.0,1.0,1,1,1,0,0
2030.43,Ruble,2030.43,Ruble,Credit Card,Sole Proprietorship,Russia,766,234,Corporation,Russia,2,2,0,1,3,0,7.616495257536552,7.616495257536552,0.0,1.0,0,0,0,0,0
24802.86,US Dollar,24802.86,US Dollar,Reinvestment,Partnership,Plandor Savings,2,2,Partnership,Plandor Savings,2,2,0,1,3,0,10.118754565202913,10.118754565202913,0.0,1.0,1,1,1,0,0
472.72,Euro,472.72,Euro,Reinvestment,Corporation,Germany,2,2,Corporation,Germany,2,2,0,1,3,0,6.160616429853294,6.160616429853294,0.0,1.0,1,1,1,0,0
0.001004,Bitcoin,0.001004,Bitcoin,Bitcoin,Partnership,Crytpo,8899,695,Partnership,Crytpo,8899,695,0,1,3,0,0.0010034963290955344,0.0010034963290955344,0.0,1.0,1,1,1,0,0
438177.33,Yen,438177.33,Yen,Reinvestment,Corporation,Japan,659,262,Corporation,Japan,659,262,0,1,3,0,12.990381252615814,12.990381252615814,0.0,1.0,1,1,1,0,0
68.03,Yuan,68.03,Yuan,Reinvestment,Sole Proprietorship,China,1,1,Sole Proprietorship,China,1,1,0,1,3,0,4.234541192715384,4.234541192715384,0.0,1.0,1,1,1,0,0
58886.34,US Dollar,58886.34,US Dollar,ACH,Corporation,Willows,1,1,Corporation,First,1,1,0,1,3,0,10.983381405959392,10.983381405959392,0.0,1.0,0,0,0,0,0
4.48,US Dollar,4.48,US Dollar,Reinvestment,Partnership,Golden Community,7,7,Partnership,Golden Community,7,7,0,1,3,0,1.7011051009599243,1.7011051009599243,0.0,1.0,1,1,1,0,0
252343.71,Rupee,252343.71,Rupee,Reinvestment,Corporation,India,552,303,Corporation,India,552,303,0,1,3,0,12.438551328600397,12.438551328600397,0.0,1.0,1,1,1,0,0
71.1,Brazil Real,71.1,Brazil Real,Reinvestment,Sole Proprietorship,Brazil,3360,630,Sole Proprietorship,Brazil,3360,630,0,1,3,0,4.278054044290903,4.278054044290903,0.0,1.0,1,1,1,0,0
178801.26,US Dollar,178801.26,US Dollar,Reinvestment,Sole Proprietorship,First,1,1,Sole Proprietorship,First,1,1,0,1,3,0,12.094035781462699,12.094035781462699,0.0,1.0,1,1,1,0,0
0.178895,Bitcoin,0.178895,Bitcoin,Bitcoin,Partnership,Brazil,8899,695,Partnership,Crytpo,1568,375,0,1,3,0,0.164577559065115,0.164577559065115,0.0,1.0,0,0,0,0,0
391875.23,US Dollar,391875.23,US Dollar,Cheque,Corporation,Savings,9,9,Corporation,National,1,1,1,1,3,0,12.878701329120377,12.878701329120377,0.0,1.0,0,0,0,0,0
662.99,Euro,662.99,Euro,Credit Card,Partnership,Savings,8,7,Sole Proprietorship,Italy,2,2,0,1,3,0,6.498267089122064,6.498267089122064,0.0,1.0,0,0,0,0,0
3048.26,US Dollar,3048.26,US Dollar,ACH,Sole Proprietorship,First,9,9,Corporation,Savings,6,6,0,1,3,0,8.022654217212928,8.022654217212928,0.0,1.0,0,0,0,0,0
1e-06,Bitcoin,1e-06,Bitcoin,Bitcoin,Partnership,UK,72,56,Partnership,Crytpo,8899,695,0,1,3,0,9.999995000003334e-07,9.999995000003334e-07,0.0,1.0,0,0,0,0,0
2224.57,US Dollar,2224.57,US Dollar,Reinvestment,Sole Proprietorship,Bank of Milford,7,7,Sole Proprietorship,Bank of Milford,7,7,0,1,3,0,7.707768341567186,7.707768341567186,0.0,1.0,1,1,1,0,0
11592.36,US Dollar,11592.36,US Dollar,Reinvestment,Corporation,Bank of Watertown,9,9,Corporation,Bank of Watertown,9,9,0,1,3,0,9.358187799410032,9.358187799410032,0.0,1.0,1,1,1,0,0
81355.05,Euro,81355.05,Euro,Reinvestment,Sole Proprietorship,Cyprus,5,5,Sole Proprietorship,Cyprus,5,5,0,1,3,0,11.306590479888019,11.306590479888019,0.0,1.0,1,1,1,0,0
129.79,Mexican Peso,129.79,Mexican Peso,Reinvestment,Corporation,Mexico,1,1,Corporation,Mexico,1,1,0,1,3,0,4.8735929835010605,4.8735929835010605,0.0,1.0,1,1,1,0,0
10267.93,Saudi Riyal,10267.93,Saudi Riyal,Reinvestment,Sole Proprietorship,Saudi Arabia,4793,773,Sole Proprietorship,Saudi Arabia,4793,773,0,1,3,0,9.236878110542477,9.236878110542477,0.0,1.0,1,1,1,0,0
297899434.4,Ruble,297899434.4,Ruble,Reinvestment,Corporation,Russia,2,2,Corporation,Russia,2,2,0,1,3,0,19.512266522414848,19.512266522414848,0.0,1.0,1,1,1,0,0
3207251.43,US Dollar,3207251.43,US Dollar,Reinvestment,Corporation,Capital Federal,1,1,Corporation,Capital Federal,1,1,0,1,3,0,14.98092518776973,14.98092518776973,0.0,1.0,1,1,1,0,0
166980.9,Ruble,166980.9,Ruble,Cheque,Corporation,Willows Thrift,865,182,Corporation,Japan,1,1,0,1,3,0,12.025640702291472,12.025640702291472,0.0,1.0,0,0,0,0,1
23.53,US Dollar,23.53,US Dollar,Reinvestment,Partnership,Bank of Augusta,9,9,Partnership,Bank of Augusta,9,9,0,1,3,0,3.199896858270398,3.199896858270398,0.0,1.0,1,1,1,0,0
5317.78,US Dollar,5317.78,US Dollar,Reinvestment,Corporation,Savings,10,10,Corporation,Savings,10,10,0,1,3,0,8.578999232728808,8.578999232728808,0.0,1.0,1,1,1,0,0
61.21,Brazil Real,61.21,Brazil Real,Credit Card,Sole Proprietorship,Brazil,5,5,Partnership,Brazil,7,7,0,1,3,0,4.130515758526928,4.130515758526928,0.0,1.0,0,0,0,0,0
351.92,US Dollar,351.92,US Dollar,ACH,Sole Proprietorship,Bank of Seattle,1,1,Sole Proprietorship,Acme Credit Union,9,9,0,1,3,0,5.8662414023539045,5.8662414023539045,0.0,1.0,0,0,0,0,0
1670.53,US Dollar,1670.53,US Dollar,Reinvestment,Partnership,First,6,6,Partnership,First,6,6,0,1,3,0,7.421494653650033,7.421494653650033,0.0,1.0,1,1,1,0,0
7.93,Euro,7.93,Euro,Reinvestment,Partnership,First,22,19,Partnership,First,22,19,0,1,3,0,2.189416394888408,2.189416394888408,0.0,1.0,1,1,1,0,0
5.6,Euro,5.6,Euro,Reinvestment,Corporation,Spain,29,28,Corporation,Spain,29,28,0,1,3,0,1.8870696490323797,1.8870696490323797,0.0,1.0,1,1,1,0,0
8.9,Shekel,8.9,Shekel,Credit Card,Corporation,Slovakia,2289,418,Corporation,Israel,7,7,0,1,3,0,2.2925347571405443,2.2925347571405443,0.0,1.0,0,0,0,0,0
1610.15,Yen,1610.15,Yen,Credit Card,Partnership,Japan,24,19,Sole Proprietorship,Japan,79,30,0,1,3,0,7.384703488712166,7.384703488712166,0.0,1.0,0,0,0,0,0
4.82,UK Pound,4.82,UK Pound,Reinvestment,Corporation,UK,7,7,Corporation,UK,7,7,0,1,3,0,1.7613002617433464,1.7613002617433464,0.0,1.0,1,1,1,0,0
0.01,Euro,0.01,Euro,Cheque,Corporation,Italy,10,10,Partnership,Portugal,1,1,0,1,3,0,0.009950330853168083,0.009950330853168083,0.0,1.0,0,0,0,0,0
3619.65,US Dollar,3619.65,US Dollar,Cheque,Sole Proprietorship,Bank of Lincoln,1,1,Corporation,First,1,1,0,1,3,0,8.194408846712257,8.194408846712257,0.0,1.0,0,0,0,0,0
155687.26,US Dollar,155687.26,US Dollar,Reinvestment,Corporation,Savings,10,10,Corporation,Savings,10,10,0,1,3,0,11.955610953566287,11.955610953566287,0.0,1.0,1,1,1,0,0
5982.28,US Dollar,5982.28,US Dollar,Reinvestment,Corporation,Oasis Credit Union,5,5,Corporation,Oasis Credit Union,5,5,0,1,3,0,8.696724191559563,8.696724191559563,0.0,1.0,1,1,1,0,0
1312.94,Ruble,1312.94,Ruble,Reinvestment,Corporation,Russia,865,182,Corporation,Russia,865,182,0,1,3,0,7.1807855359015536,7.1807855359015536,0.0,1.0,1,1,1,0,0
2.74,Euro,2.74,Euro,Reinvestment,Sole Proprietorship,Germany,3,3,Sole Proprietorship,Germany,3,3,0,1,3,0,1.3190856114264407,1.3190856114264407,0.0,1.0,1,1,1,0,0
255818.5,Rupee,255818.5,Rupee,ACH,Corporation,India,907,330,Partnership,India,614,219,0,1,3,0,12.452227396652217,12.452227396652217,0.0,1.0,0,0,0,0,0
189.35,US Dollar,189.35,US Dollar,Cheque,Sole Proprietorship,National,1,1,Sole Proprietorship,National,8,8,1,1,3,0,5.248864482828506,5.248864482828506,0.0,1.0,0,0,0,0,0
32433.23,US Dollar,32433.23,US Dollar,ACH,Partnership,National,1,1,Corporation,Bank of Arkadelphia,4,4,1,1,3,0,10.386969625578097,10.386969625578097,0.0,1.0,0,0,0,0,1
17.83,Euro,17.83,Euro,Reinvestment,Partnership,Portugal,9,9,Partnership,Portugal,9,9,0,1,3,0,2.935451342669061,2.935451342669061,0.0,1.0,1,1,1,0,0
4785497.94,Canadian Dollar,4785497.94,Canadian Dollar,ACH,Sole Proprietorship,Canada,1,1,Sole Proprietorship,Canada,2568,403,0,1,3,0,15.381100849115619,15.381100849115619,0.0,1.0,0,0,0,0,0
7.74,Australian Dollar,7.74,Australian Dollar,Reinvestment,Partnership,Savings,8,7,Partnership,Savings,8,7,0,1,3,0,2.167910189667444,2.167910189667444,0.0,1.0,1,1,1,0,0
327.45,US Dollar,327.45,US Dollar,Credit Card,Sole Proprietorship,Sea,7,7,Sole Proprietorship,National,6,6,0,1,3,0,5.794384619338482,5.794384619338482,0.0,1.0,0,0,0,0,0
1246.08,US Dollar,1246.08,US Dollar,Cheque,Sole Proprietorship,National,4,4,Sole Proprietorship,Savings,1,1,0,1,3,0,7.1285600975917855,7.1285600975917855,0.0,1.0,0,0,0,0,0
2079.63,Euro,2079.63,Euro,Reinvestment,Partnership,Slovakia,75,66,Partnership,Slovakia,75,66,0,1,3,0,7.640426011450463,7.640426011450463,0.0,1.0,1,1,1,0,0
21.58,US Dollar,21.58,US Dollar,Reinvestment,Partnership,Sea,1,1,Partnership,Sea,1,1,0,1,3,0,3.1170645587215158,3.1170645587215158,0.0,1.0,1,1,1,0,0
0.01,Yen,0.01,Yen,Cheque,Corporation,Japan,50,32,Partnership,Japan,1,1,0,1,3,0,0.009950330853168083,0.009950330853168083,0.0,1.0,0,0,0,0,0
1377260.63,Euro,1377260.63,Euro,Reinvestment,Corporation,Germany,2,2,Corporation,Germany,2,2,0,1,3,0,14.135607759663078,14.135607759663078,0.0,1.0,1,1,1,0,0
5601.64,US Dollar,5601.64,US Dollar,Credit Card,Sole Proprietorship,First,1,1,Corporation,Brownstone Thrift,1,1,0,1,3,0,8.630993194207132,8.630993194207132,0.0,1.0,0,0,0,0,0
24.64,US Dollar,24.64,US Dollar,Reinvestment,Sole Proprietorship,Flagstone Federal,8,8,Sole Proprietorship,Flagstone Federal,8,8,0,1,3,0,3.2441536320524693,3.2441536320524693,0.0,1.0,1,1,1,0,0
0.303574,Bitcoin,0.303574,Bitcoin,Bitcoin,Partnership,Crytpo,1071,297,Partnership,Crytpo,1071,297,0,1,3,0,0.26510972301403607,0.26510972301403607,0.0,1.0,1,1,1,0,0
4332770.83,Rupee,4332770.83,Rupee,Cash,Sole Proprietorship,India,2,2,Partnership,India,1130,388,0,1,3,0,15.281718040669478,15.281718040669478,0.0,1.0,0,0,0,0,0
3.81,US Dollar,3.81,US Dollar,Reinvestment,Partnership,First,7,7,Partnership,First,7,7,0,1,3,0,1.57069708411767,1.57069708411767,0.0,1.0,1,1,1,0,0
204527.77,Euro,204527.77,Euro,Reinvestment,Corporation,Italy,3,3,Corporation,Italy,3,3,0,1,3,0,12.22846392916642,12.22846392916642,0.0,1.0,1,1,1,0,0
74.77,US Dollar,74.77,US Dollar,Cheque,Partnership,The Pine Thrift,1,1,Sole Proprietorship,Acme Credit Union,1,1,0,1,3,0,4.327702435943282,4.327702435943282,0.0,1.0,0,0,0,0,0
196694.87,Rupee,196694.87,Rupee,Reinvestment,Partnership,India,4,4,Partnership,India,4,4,0,1,3,0,12.18941400771544,12.18941400771544,0.0,1.0,1,1,1,0,0
2532.7,US Dollar,2532.7,US Dollar,Reinvestment,Sole Proprietorship,Bank of Seattle,8,8,Sole Proprietorship,Bank of Seattle,8,8,0,1,3,0,7.837435963975052,7.837435963975052,0.0,1.0,1,1,1,0,0
2761.72,Rupee,2761.72,Rupee,Credit Card,Partnership,India,1,1,Corporation,India,1824,585,0,1,3,0,7.92397098066412,7.92397098066412,0.0,1.0,0,0,0,0,0
0.05,Rupee,0.05,Rupee,Cheque,Corporation,India,432,251,Corporation,India,1,1,0,1,3,0,0.048790164169432,0.048790164169432,0.0,1.0,0,0,0,0,0
3999.94,US Dollar,3999.94,US Dollar,ACH,Corporation,Baltech,1,1,Sole Proprietorship,National,5,5,1,1,3,0,8.294284612493852,8.294284612493852,0.0,1.0,0,0,0,0,1
35413.61,Euro,35413.61,Euro,Reinvestment,Sole Proprietorship,Italy,9,9,Sole Proprietorship,Italy,9,9,0,1,3,0,10.474879725844156,10.474879725844156,0.0,1.0,1,1,1,0,0
25623.72,US Dollar,25623.72,US Dollar,Reinvestment,Sole Proprietorship,Bank of Philadelphia,6,6,Sole Proprietorship,Bank of Philadelphia,6,6,0,1,3,0,10.151312789551742,10.151312789551742,0.0,1.0,1,1,1,0,0
28.34,Brazil Real,28.34,Brazil Real,Reinvestment,Partnership,Brazil,7,7,Partnership,Brazil,7,7,0,1,3,0,3.3789517727148355,3.3789517727148355,0.0,1.0,1,1,1,0,0
34.42,Australian Dollar,34.42,Australian Dollar,Reinvestment,Corporation,Australia,4795,699,Corporation,Australia,4795,699,0,1,3,0,3.5672766323546874,3.5672766323546874,0.0,1.0,1,1,1,0,0
584.04,US Dollar,584.04,US Dollar,Reinvestment,Partnership,National,7,7,Partnership,National,7,7,0,1,3,0,6.371680220962696,6.371680220962696,0.0,1.0,1,1,1,0,0
2096.13,US Dollar,2096.13,US Dollar,Reinvestment,Sole Proprietorship,National,6,6,Sole Proprietorship,National,6,6,0,1,3,0,7.648325022304209,7.648325022304209,0.0,1.0,1,1,1,0,0
6363688.04,Rupee,6363688.04,Rupee,Reinvestment,Sole Proprietorship,India,1,1,Sole Proprietorship,India,1,1,0,1,3,0,15.666118804895287,15.666118804895287,0.0,1.0,1,1,1,0,0
3995.66,US Dollar,3995.66,US Dollar,Reinvestment,Corporation,Bank of Bridgeport,7,7,Corporation,Bank of Bridgeport,7,7,0,1,3,0,8.293214291295346,8.293214291295346,0.0,1.0,1,1,1,0,0
12.63,US Dollar,12.63,US Dollar,Reinvestment,Corporation,City National Bancorp,6,6,Corporation,City National Bancorp,6,6,0,1,3,0,2.612273245708441,2.612273245708441,0.0,1.0,1,1,1,0,0
10635.54,Euro,10635.54,Euro,ACH,Partnership,France,1,1,Corporation,Netherlands,5,5,0,1,3,0,9.272050522040637,9.272050522040637,0.0,1.0,0,0,0,0,0
14547.77,Swiss Franc,14547.77,Swiss Franc,Credit Card,Corporation,Switzerland,7,7,Sole Proprietorship,Japan,1,1,0,1,3,0,9.585261732943788,9.585261732943788,0.0,1.0,0,0,0,0,0
3195.5,US Dollar,3195.5,US Dollar,Reinvestment,Corporation,National,3,3,Corporation,National,3,3,0,1,3,0,8.06981174020678,8.06981174020678,0.0,1.0,1,1,1,0,0
30959.23,US Dollar,30959.23,US Dollar,Reinvestment,Sole Proprietorship,Flagstone Thrift,1,1,Sole Proprietorship,Flagstone Thrift,1,1,0,1,3,0,10.340458756616638,10.340458756616638,0.0,1.0,1,1,1,0,0
311818.14,US Dollar,311818.14,US Dollar,Reinvestment,Partnership,Capital Federal,1,1,Partnership,Capital Federal,1,1,0,1,3,0,12.650178619225327,12.650178619225327,0.0,1.0,1,1,1,0,0
18971.06,Euro,18971.06,Euro,Reinvestment,Corporation,Spain,42,40,Corporation,Spain,42,40,0,1,3,0,9.850722649547816,9.850722649547816,0.0,1.0,1,1,1,0,0
1059487.4,Canadian Dollar,1059487.4,Canadian Dollar,Reinvestment,Corporation,Canada,1,1,Corporation,Canada,1,1,0,1,3,0,13.873296708069914,13.873296708069914,0.0,1.0,1,1,1,0,0
1622.34,Euro,1622.34,Euro,Reinvestment,Corporation,Italy,10,10,Corporation,Italy,10,10,0,1,3,0,7.392241034176274,7.392241034176274,0.0,1.0,1,1,1,0,0
12740.63,US Dollar,12740.63,US Dollar,Reinvestment,Sole Proprietorship,Bank of Philadelphia,9,9,Sole Proprietorship,Bank of Philadelphia,9,9,0,1,3,0,9.452629864427172,9.452629864427172,0.0,1.0,1,1,1,0,0
22286755.85,Ruble,22286755.85,Ruble,ACH,Partnership,Russia,1,1,Partnership,Mexico,2,2,0,1,3,0,16.919503196795038,16.919503196795038,0.0,1.0,0,0,0,0,0
18169.56,Euro,18169.56,Euro,Credit Card,Corporation,Netherlands,1,1,Corporation,Netherlands,1,1,0,1,3,0,9.80755798094831,9.80755798094831,0.0,1.0,1,0,0,0,0
18392.7,US Dollar,18392.7,US Dollar,Reinvestment,Partnership,National,1,1,Partnership,National,1,1,0,1,3,0,9.819763493663443,9.819763493663443,0.0,1.0,1,1,1,0,0
16.24,Euro,16.24,Euro,Reinvestment,Corporation,France,12,12,Corporation,France,12,12,0,1,3,0,2.847232265235547,2.847232265235547,0.0,1.0,1,1,1,0,0
19.12,US Dollar,19.12,US Dollar,Reinvestment,Corporation,Flagstone Federal,7,7,Corporation,Flagstone Federal,7,7,0,1,3,0,3.0017143452315387,3.0017143452315387,0.0,1.0,1,1,1,0,0
5703.11,Rupee,5703.11,Rupee,Cheque,Partnership,India,1,1,Corporation,India,121,98,0,1,3,0,8.648942246620667,8.648942246620667,0.0,1.0,0,0,0,0,0
116903.08,Shekel,116903.08,Shekel,Cheque,Corporation,Israel,3,3,Sole Proprietorship,Israel,7,7,0,1,3,0,11.669109048476432,11.669109048476432,0.0,1.0,0,0,0,0,0
35478.0,Euro,35478.0,Euro,ACH,Sole Proprietorship,Germany,69,47,Partnership,Germany,49,46,0,1,3,0,10.476696251133417,10.476696251133417,0.0,1.0,0,0,0,0,0
1816.0,US Dollar,1816.0,US Dollar,ACH,Corporation,First,1,1,Corporation,National,10,10,0,1,3,0,7.504942068396171,7.504942068396171,0.0,1.0,0,0,0,0,0
3.05,US Dollar,3.05,US Dollar,Reinvestment,Sole Proprietorship,First,5,5,Sole Proprietorship,First,5,5,0,1,3,0,1.3987168811184478,1.3987168811184478,0.0,1.0,1,1,1,0,0
0.001394,Bitcoin,0.001394,Bitcoin,Bitcoin,Partnership,Crytpo,8899,695,Partnership,Crytpo,8899,695,0,1,3,0,0.0013930292840140046,0.0013930292840140046,0.0,1.0,1,1,1,0,0
97978.54,Euro,97978.54,Euro,Reinvestment,Corporation,Italy,1,1,Corporation,Italy,1,1,0,1,3,0,11.492513960345864,11.492513960345864,0.0,1.0,1,1,1,0,0
22.19,Euro,22.19,Euro,Credit Card,Sole Proprietorship,Italy,3,3,Sole Proprietorship,Spain,1,1,0,1,3,0,3.1437211512674406,3.1437211512674406,0.0,1.0,0,0,0,0,0
95890.91,US Dollar,95890.91,US Dollar,Reinvestment,Partnership,Plateau Savings,1,1,Partnership,Plateau Savings,1,1,0,1,3,0,11.470976898606148,11.470976898606148,0.0,1.0,1,1,1,0,0
619.95,Canadian Dollar,619.95,Canadian Dollar,Reinvestment,Sole Proprietorship,Canada,2568,403,Sole Proprietorship,Canada,2568,403,0,1,3,0,6.431250563394042,6.431250563394042,0.0,1.0,1,1,1,0,0
2478.66,Shekel,2478.66,Shekel,Reinvestment,Sole Proprietorship,Israel,812,299,Sole Proprietorship,Israel,812,299,0,1,3,0,7.815876732986212,7.815876732986212,0.0,1.0,1,1,1,0,0
22478.74,Euro,22478.74,Euro,Cash,Sole Proprietorship,Willows Thrift,13,11,Sole Proprietorship,Estonia,4,4,0,1,3,0,10.020369738104444,10.020369738104444,0.0,1.0,0,0,0,0,1
22068.13,Euro,22068.13,Euro,Reinvestment,Partnership,Cyprus,7,7,Partnership,Cyprus,7,7,0,1,3,0,10.001935078446607,10.001935078446607,0.0,1.0,1,1,1,0,0
4887131.02,Rupee,4887131.02,Rupee,Reinvestment,Partnership,India,1,1,Partnership,India,1,1,0,1,3,0,15.402116190415747,15.402116190415747,0.0,1.0,1,1,1,0,0
50511.06,Euro,50511.06,Euro,Reinvestment,Sole Proprietorship,Spain,3,3,Sole Proprietorship,Spain,3,3,0,1,3,0,10.82996739863362,10.82996739863362,0.0,1.0,1,1,1,0,0
5104.69,Euro,5104.69,Euro,Reinvestment,Corporation,Spain,5,5,Corporation,Spain,5,5,0,1,3,0,8.538110883071527,8.538110883071527,0.0,1.0,1,1,1,0,0
9.64,Euro,9.64,Euro,Reinvestment,Corporation,France,9,9,Corporation,France,9,9,0,1,3,0,2.3646204839134985,2.3646204839134985,0.0,1.0,1,1,1,0,0
310933.65,US Dollar,310933.65,US Dollar,Reinvestment,Partnership,Bank of the Valley,1,1,Partnership,Bank of the Valley,1,1,0,1,3,0,12.647338040463897,12.647338040463897,0.0,1.0,1,1,1,0,0
792500.59,US Dollar,792500.59,US Dollar,Cheque,Sole Proprietorship,National,1,1,Partnership,Bank of Pittsburgh,5,5,0,1,3,0,13.582949791040708,13.582949791040708,0.0,1.0,0,0,0,0,0
